track_name,artist,my_rank,global_avg_rank
Don't Say You Love Me,Jin,1,12.4
Mangu,"Fourtwnty, Charita Utami",2,10.7
back to friends,sombr,3,23.0
bergema sampai selamanya,Nadhif Basalamah,4,18.6
You'll Be in My Heart,NIKI,5,16.2
blue,yung kai,6,21.1
BIRDS OF A FEATHER,Billie Eilish,7,18.9
Bukan Lagi Kita,Nadeera,8,
WILDFLOWER,Billie Eilish,9,30.2
like JENNIE,JENNIE,10,20.1
